algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
siphash13,16384,random,41984,204002917,4859.06338128811,3371.8432369278325
siphash13,16384,low_entropy,43008,200309209,4657.487188430059,3517.7767188926396
siphash13,16384,repeating,43008,201681917,4689.404692150298,3493.8336687864785
siphash13,65536,random,11264,217967167,19350.7783203125,3386.737159363089
siphash13,65536,low_entropy,11264,220430166,19569.439453125,3348.8951054004106
siphash13,65536,repeating,10240,201859083,19712.80107421875,3324.5402189803867
siphash24,8,random,19152896,200007208,10.442661412665739,766.0882301801844
siphash24,8,low_entropy,18974720,200006417,10.540678176015245,758.9644486256659
siphash24,8,repeating,18764800,200002791,10.658402487636426,750.5815256348096
siphash24,16,random,14217216,200009833,14.068143369278486,1137.321363595159
siphash24,16,low_entropy,14678016,200007042,13.626299494427585,1174.1999364202388
siphash24,16,repeating,14438400,200003000,13.852158133865249,1155.0546741798873
siphash24,32,random,9654272,200010000,20.717253460436996,1544.6062896855158
siphash24,32,low_entropy,9631744,200005625,20.765255492670903,1541.0356983709833
siphash24,32,repeating,9298944,200008750,21.50875948924953,1487.765950239677
siphash24,64,random,5281792,200020250,37.86977033552249,1690.0023272643646
siphash24,64,low_entropy,5284864,200021625,37.84801747026981,1690.9736434747992
siphash24,64,repeating,5358592,200017167,37.326440788923655,1714.6022671144024
siphash24,256,random,1379328,200114375,145.0810648373701,1764.5307489779282
siphash24,256,low_entropy,1383424,200113958,144.65121177599926,1769.7743202900417
siphash24,256,repeating,1398784,200120875,143.06774669999086,1789.3620742963471
siphash24,1024,random,352256,200029334,567.852170012718,1803.2862320083514
siphash24,1024,low_entropy,359424,200466042,557.7425046741453,1835.9726781057511
siphash24,1024,repeating,359424,200355416,557.4347177706553,1836.9864081937271
siphash24,4096,random,89088,201383292,2260.4985183189656,1811.9896858176298
siphash24,4096,low_entropy,90112,201072708,2231.3643909801135,1835.6481875203074
siphash24,4096,repeating,90112,201807834,2239.522305575284,1828.9614663819245
siphash24,16384,random,22528,208210791,9242.311390269886,1772.716727251663
siphash24,16384,low_entropy,21504,200803125,9337.942940848214,1754.5620169008823
siphash24,16384,repeating,22528,205956584,9142.24893465909,1792.1192167374459
siphash24,65536,random,6144,221325000,36022.94921875,1819.284689935615
siphash24,65536,low_entropy,6144,224313000,36509.27734375,1795.0505944818178
siphash24,65536,repeating,6144,223668833,36404.432454427086,1800.2203463009976
xxh3,8,random,121802752,200000958,1.642006889959268,4872.086742704502
